ID	UNNAMED	ORP	ORF	ORT	PHM	PHT	IPA	TRA	CONCEPT	CSA	SRC	REF	COA	EML_(AUTEUR)	EMF_(AUTEUR)	EMT_(AUTEUR)	EML_(SAISIE)	EMF_(SAISIE)	EMT_(SAISIE)	CGR	DV	TOKENS	DOCULECT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID	ALIGNMENT	COGIDS	STRUCTURE	PATTERNS
3274			0	ybýri			ɨβɨ́ɾi	ao longo de	NONE		2	163										ɨ β ɨ́ ɾ i	Tupinamba	7 3 7 5 7	XBYBZ	IBIRI	3	3.I.V 3.B.C 3.I.V 3.R.C 3.I.V	1.5 1.75 1.3 1.75 0.8	0	7	- ɨ β ɨ́ ɾ i	7	c c c c c	128-4/k 93-3/a 17-b>w/w 226-1/i 3-gen_ɾ/ɾ 8-gen_i/i
3275			0	coca			koka	escorar, apoiar, dirigir [embarcação]	NONE		2	46										k o k a	Tupinamba	1 7 1 7	AXBZ	KUKA	3	3.K.C 3.U.V 3.K.C 3.A.V	2.0 1.5 1.75 0.8	0	8	- - k o k a	8	c c c c	2-157/Ø 2-157/Ø 4-gen_k/k 14-o>u/u 4-gen_k/k 1-gen_a/a
3276			0	apina			apina	rapado, pelado [cabeça, tope, grão ets.]	NONE		2	31										a p i n a	Tupinamba	7 1 7 4 7	XBYBZ	APINA	3	3.A.V 3.P.C 3.I.V 3.N.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0	6	- - a p i n - - a - -	6	c c c c c	2-157/Ø 2-157/Ø 1-gen_a/a 6-gen_p/p 8-gen_i/i 18-gen_n/n 2-157/Ø 2-157/Ø 1-gen_a/a 2-157/Ø 2-157/Ø
3277			0	royssanga			ɾoɨsaNa	fresco, frio	NONE		2	141										ɾ o ɨ s a ɴ a	Tupinamba	5 7 7 3 7 4 7	AXYBYBZ	RUISANA	3	3.R.C 3.U.V 3.I.V 3.S.C 3.A.V 3.N.C 3.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	0	13	ɾ o ɨ s a ɴ a	13	c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
3279			0	abyquy			aβɨkɨ	apalpar, tocar	NONE		2	20										a β ɨ k ɨ	Tupinamba	7 3 7 1 7	XBYBZ	ABIKI	3	3.A.V 3.B.C 3.I.V 3.K.C 3.I.V	1.5 1.75 1.3 1.75 0.8	0	14	a β ɨ k ɨ	14	c c c c c	0/n 0/n 0/n 0/n 0/n
3280			0	pococa			pokoka	tocar em, dar combate a	NONE		2	127									(essé)	p o k o k a	Tupinamba	1 7 1 7 1 7	AXBYBZ	PUKUKA	3	3.P.C 3.U.V 3.K.C 3.U.V 3.K.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	8	p o k o k a	8	c c c c c c	2-157/Ø 2-157/Ø 4-gen_k/k 14-o>u/u 4-gen_k/k 1-gen_a/a
3281			0	pytyma			pɨtɨma	fazer engasgar	NONE		2	135										p ɨ t ɨ m a	Tupinamba	1 7 1 7 4 7	AXBYBZ	PITIMA	3	3.P.C 3.I.V 3.T.C 3.I.V 3.M.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	6	- - - p ɨ t ɨ m a - -	6	c c c c c c	2-157/Ø 2-157/Ø 1-gen_a/a 6-gen_p/p 8-gen_i/i 18-gen_n/n 2-157/Ø 2-157/Ø 1-gen_a/a 2-157/Ø 2-157/Ø
3282			0	pi			pi	picar [avespa, formiga]	NONE		2	123									(jo)	p i	Tupinamba	1 7	AX	PI	3	3.P.C 3.I.V	2.0 1.5	0	6	- - - p i - - - - - -	6	c c	2-157/Ø 2-157/Ø 1-gen_a/a 6-gen_p/p 8-gen_i/i 18-gen_n/n 2-157/Ø 2-157/Ø 1-gen_a/a 2-157/Ø 2-157/Ø
3283			0	atycá			atɨká	fincar, esmurrar	NONE		2	38										a t ɨ k á	Tupinamba	7 1 7 1 7	XBYBZ	ATIKA	3	3.A.V 3.T.C 3.I.V 3.K.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0	9	- a t ɨ k á	9	c c c c c	36-15/j 1-gen_a/a 7-gen_t/t 9-gen_ɨ/ɨ 4-gen_k/k 16-gen_a_tpn_stress/a
3284			0	soó			soʔó	bicho, animal de caça	NONE		2	144										s o ʔ ó	Tupinamba	3 7 1 7	AXBZ	SUHU	3	3.S.C 3.U.V 3.H.C 3.U.V	2.0 1.5 1.75 0.8	0	15	s o ʔ ó	15	c c c c	0/n 0/n 0/n 0/n
3285			0	jaboti			jaβoti	cágado	NONE		2	73										j a β o t i	Tupinamba	6 7 3 7 1 7	AXBYBZ	JABUTI	3	3.J.C 3.A.V 3.B.C 3.U.V 3.T.C 3.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	16	j a β o t i	16	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
3286			0	pyssaré			pɨsaɾé	a noite toda	NONE		2	134										p ɨ s a ɾ é	Tupinamba	1 7 3 7 5 7	AXBYBZ	PISARE	3	3.P.C 3.I.V 3.S.C 3.A.V 3.R.C 3.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	6	- - - p ɨ - - s a ɾ é	6	c c c c c c	2-157/Ø 2-157/Ø 1-gen_a/a 6-gen_p/p 8-gen_i/i 18-gen_n/n 2-157/Ø 2-157/Ø 1-gen_a/a 2-157/Ø 2-157/Ø
3287			0	mboapy			mboapɨ	esgotar bebida ou vasilha	NONE		2	86										mb o a p ɨ	Tupinamba	4 1 7 7 1 7	ACYYBZ	MPUAPI	3	3.M.C 3.P.C 3.U.V 3.A.V 3.P.C 3.I.V	2.0 1.5 1.3 1.3 1.75 0.8	0	6	mb o a p ɨ - - - - - -	6	c c c c c	2-157/Ø 2-157/Ø 1-gen_a/a 6-gen_p/p 8-gen_i/i 18-gen_n/n 2-157/Ø 2-157/Ø 1-gen_a/a 2-157/Ø 2-157/Ø
3288			0	anhassy			aɲasɨ	venenoso, animal que morda ou pique	NONE		2	29									(t)	a ɲ a s ɨ	Tupinamba	7 4 7 3 7	XBYBZ	ANASI	3	3.A.V 3.N.C 3.A.V 3.S.C 3.I.V	1.5 1.75 1.3 1.75 0.8	0	17	a ɲ a s ɨ	17	c c c c c	0/n 0/n 0/n 0/n 0/n
3289			0	popiaba			popjaβa	ferrão, dente de cobra	NONE		2	127										p o p j a β a	Tupinamba	1 7 1 6 7 3 7	AXBCYBZ	PUPJABA	3	3.P.C 3.U.V 3.P.C 3.J.C 3.A.V 3.B.C 3.A.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0	18	p o p j a β a	18	c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
322	100	0	0		paɾawaku		paɾawaku	huapo, Pithecia spp.	Pithecia spp., especially Pithecia monachus, monk saki monjey													p a ɾ a w a k u	Omagua	1 7 5 7 6 7 1 7	AXBYBYBZ	PARAWAKY	2	2.P.C 2.A.V 2.R.C 2.A.V 2.W.C 2.A.V 2.K.C 2.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	19	p a ɾ a w a k u	19	c c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
2980	479	479	1	seixu			seiʃu	Setestrelo, Plêiades	Pleiades	OL: Possibly /sejʃu/	2	144										s e i ʃ u	Tupinamba	3 7 7 3 7	AXYBZ	SEISY	3	3.S.C 3.E.V 3.I.V 3.S.C 3.Y.V	2.0 1.5 1.3 1.75 0.8	0	20	s e i ʃ u	20	c c c c c	11-deaffric/ts 19-gen_e/e 61-4/- 91-5/ts 5-gen_u/u
289	83	0	0		mɨɾɨti		mɨɾɨti		Sp. `aguaje` (Mauritia flexuosa)													m ɨ ɾ ɨ t i	Omagua	4 7 5 7 1 7	AXBYBZ	MIRITI	2	2.M.C 2.I.V 2.R.C 2.I.V 2.T.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	21	m ɨ ɾ ɨ t i	21	c c c c c c	12-gen_m/m 9-gen_ɨ/ɨ 3-gen_ɾ/ɾ 9-gen_ɨ/ɨ 7-gen_t/t 8-gen_i/i
1115	120	0	0	mɨrɨti ~ mɨrɨtɨ			mɨɾɨti	aguaje, especie de palmera, árbol y fruto	Sp. `aguaje` (Mauritia flexuosa)	OL: Also /mɨɾɨtɨ/	9	136								N.		m ɨ ɾ ɨ t i	Kokama	4 7 5 7 1 7	AXBYBZ	MIRITI	1	1.M.C 1.I.V 1.R.C 1.I.V 1.T.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	21	m ɨ ɾ ɨ t i	21	c c c c c c	12-gen_m/m 9-gen_ɨ/ɨ 3-gen_ɾ/ɾ 9-gen_ɨ/ɨ 7-gen_t/t 8-gen_i/i
2049	1426	367	2	cuessé ~ cueissé			kʷeisé	há poucos dias	a few days ago	OL: Possibly /kʷejsé/? Cf. <akʷéime>. Also /kʷesé/.	2	48										kʷ e i s é	Tupinamba	1 7 7 3 7	AXYBZ	KEISE	3	3.K.C 3.E.V 3.I.V 3.S.C 3.E.V	2.0 1.5 1.3 1.75 0.8	0	22	kʷ e i s é	22	c c c c c	0/n 0/n 0/n 0/n 0/n
2365	1504	803	3	mbobyr			mboβɨɾ	algumas ou poucas vêzes	a few times		2	86										mb o β ɨ ɾ	Tupinamba	4 1 7 3 7 5	ACYBYN	MPUBIR	3	3.M.C 3.P.C 3.U.V 3.B.C 3.I.V 3.R.c	2.0 1.5 1.3 1.75 1.3 0.8	0	23	mb o β ɨ ɾ	23	c c c c c	0/n 0/n 0/n 0/n 0/n
1655	44	44	2	acapé			akapé	parede abdominal	abdominal wall		2	21									(t)	a k a p é	Tupinamba	7 1 7 1 7	XBYBZ	AKAPE	3	3.A.V 3.K.C 3.A.V 3.P.C 3.E.V	1.5 1.75 1.3 1.75 0.8	0	24	a k a p é	24	c c c c c	0/n 0/n 0/n 0/n 0/n
3184	1698	761	3	ybaté			ɨβaté	em cima	above, on top		2	161								adv.		ɨ β a t é	Tupinamba	7 3 7 1 7	XBYBZ	IBATE	3	3.I.V 3.B.C 3.A.V 3.T.C 3.E.V	1.5 1.75 1.3 1.75 0.8	0	25	ɨ β a t é	25	c c c c c	0/n 0/n 0/n 0/n 0/n
2464	1525	1058	3	mombeú			mombeʔú	acusar	accuse		2	96								tr.		m o mb e ʔ ú	Tupinamba	4 7 4 1 7 1 7	AXMBYBZ	MUMPEHY	3	3.M.C 3.U.V 3.M.c 3.P.C 3.E.V 3.H.C 3.Y.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	26	m o mb e ʔ ú	26	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
369	86	0	0		ɾuku		ɾuku		achiote													ɾ u k u	Omagua	5 7 1 7	AXBZ	RYKY	2	2.R.C 2.Y.V 2.K.C 2.Y.V	2.0 1.5 1.75 0.8	0	27	- ɾ u k u	27	c c c c	62-4/- 3-gen_ɾ/ɾ 5-gen_u/u 4-gen_k/k 5-gen_u/u
3144	126	0	0	urucu			uɾuku	arbusto, fam. Bixáceas	achiote		2	157										u ɾ u k u	Tupinamba	7 5 7 1 7	XBYBZ	YRYKY	3	3.Y.V 3.R.C 3.Y.V 3.K.C 3.Y.V	1.5 1.75 1.3 1.75 0.8	0	27	u ɾ u k u	27	c c c c c	62-4/- 3-gen_ɾ/ɾ 5-gen_u/u 4-gen_k/k 5-gen_u/u
1220	125	0	0	ruku			ɾuku	achiote, árbol mediano de fruto espinoso y en forma de corazón. bixa orellana	achiote, Bixa orellana		9	174								N.		ɾ u k u	Kokama	5 7 1 7	AXBZ	RYKY	1	1.R.C 1.Y.V 1.K.C 1.Y.V	2.0 1.5 1.75 0.8	0	28	- ɾ u k u	27	c c c c	62-4/- 3-gen_ɾ/ɾ 5-gen_u/u 4-gen_k/k 5-gen_u/u
610	640	0	0		waɾimata		waɾimata	adornar	adorn, decorate													w a ɾ i m a t a	Omagua	6 7 5 7 4 7 1 7	AXBYBYBZ	WARIMATA	2	2.W.C 2.A.V 2.R.C 2.I.V 2.M.C 2.A.V 2.T.C 2.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	30	w a ɾ i m a t a	30	c c c c c c c c	17-b>w/w 1-gen_a/a 3-gen_ɾ/ɾ 8-gen_i/i 12-gen_m/m 1-gen_a/a 7-gen_t/t 1-gen_a/a
1486	934	0	0	warimata			waɾimata	adornar, arreglar, decorar colocándo objetos	adorn, decorate		9	243								V.		w a ɾ i m a t a	Kokama	6 7 5 7 4 7 1 7	AXBYBYBZ	WARIMATA	1	1.W.C 1.A.V 1.R.C 1.I.V 1.M.C 1.A.V 1.T.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	30	w a ɾ i m a t a	30	c c c c c c c c	17-b>w/w 1-gen_a/a 3-gen_ɾ/ɾ 8-gen_i/i 12-gen_m/m 1-gen_a/a 7-gen_t/t 1-gen_a/a
2251	1136	0	0	jeguaca			jegʷaka	enfeitar-se, adornar-se, pintar-se	adorn, decorate		2	76										j e gʷ a k a	Tupinamba	6 7 1 7 1 7	AXBYBZ	JEKAKA	3	3.J.C 3.E.V 3.K.C 3.A.V 3.K.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	29	- - j e gʷ a k a	29	c c c c c c	2-157/Ø 2-157/Ø 15-gen_j/j 19-gen_e/e 38-gw>w/w 1-gen_a/a 4-gen_k/k 1-gen_a/a
2454	1137	1137	1	mojeguaca			mojegʷaka	enfeitar, adornar	adorn, decorate		2	94										m o j e gʷ a k a	Tupinamba	4 7 6 7 1 7 1 7	AXBYBYBZ	MUJEKAKA	3	3.M.C 3.U.V 3.J.C 3.E.V 3.K.C 3.A.V 3.K.C 3.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	29	m o j e gʷ a k a	29	c c c c c c c c	2-157/Ø 2-157/Ø 15-gen_j/j 19-gen_e/e 38-gw>w/w 1-gen_a/a 4-gen_k/k 1-gen_a/a
609	641	0	0		waɾima		waɾima	adornado, bien vestido	adorn, decorate@													w a ɾ i m a	Omagua	6 7 5 7 4 7	AXBYBZ	WARIMA	2	2.W.C 2.A.V 2.R.C 2.I.V 2.M.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	31	w a ɾ i m a	31	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
2859	536	0	0	pururé			puɾuɾé	enxó	adxe		2	132										p u ɾ u ɾ é	Tupinamba	1 7 5 7 5 7	AXBYBZ	PYRYRE	3	3.P.C 3.Y.V 3.R.C 3.Y.V 3.R.C 3.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	32	p u ɾ u ɾ é	32	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
85	266	0	0		isakapɨɾɨ		isakapɨɾɨ	afterwards.FS	after													i s a k a p ɨ ɾ ɨ	Omagua	7 3 7 1 7 1 7 5 7	XBYBYBYBZ	ISAKAPIRI	2	2.I.V 2.S.C 2.A.V 2.K.C 2.A.V 2.P.C 2.I.V 2.R.C 2.I.V	1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	0	33	i s a k a p ɨ ɾ ɨ	33	c c c c c c c c c	69-6/- 92-2/ts 1-gen_a/a 4-gen_k/k 93-3/a 63-6/p 131-1/ɨ 3-gen_ɾ/ɾ 72-3/ɨ
86	265	0	0		isui		isui	then.FS	after													i s u i	Omagua	7 3 7 7	XBYZ	ISYI	2	2.I.V 2.S.C 2.Y.V 2.I.V	1.5 1.75 1.3 0.8	0	34	i - - s u i	34	c c c c	8-gen_i/i 42-10/Ø 42-10/Ø 11-deaffric/ts 5-gen_u/u 8-gen_i/i
364	267	0	0		ɾasakapɨɾɨ		ɾasakapɨɾɨ	afterwards.MS	after													ɾ a s a k a p ɨ ɾ ɨ	Omagua	5 7 3 7 1 7 1 7 5 7	AXBYBYBYBZ	RASAKAPIRI	2	2.R.C 2.A.V 2.S.C 2.A.V 2.K.C 2.A.V 2.P.C 2.I.V 2.R.C 2.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	0	33	ɾ a s a k a p ɨ ɾ ɨ -	35	c c c c c c c c c c	3-gen_ɾ/ɾ 1-gen_a/a 227-2/- 121-3/e 122-2/- 31-kok_simp/- 6-gen_p/p 175-2/e 228-2/ts 123-3/u 43-11/j
365	264	0	0		ɾasui		ɾasui	then.MS	after													ɾ a s u i	Omagua	5 7 3 7 7	AXBYZ	RASYI	2	2.R.C 2.A.V 2.S.C 2.Y.V 2.I.V	2.0 1.5 1.75 1.3 0.8	0	34	- ɾ a s u i	34	c c c c c	8-gen_i/i 42-10/Ø 42-10/Ø 11-deaffric/ts 5-gen_u/u 8-gen_i/i
721	263	0	0		#NAME?		sakapɨɾɨ	VP-final enclitic	after													s a k a p ɨ ɾ ɨ	Omagua	3 7 1 7 1 7 5 7	AXBYBYBZ	SAKAPIRI	2	2.S.C 2.A.V 2.K.C 2.A.V 2.P.C 2.I.V 2.R.C 2.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	33	- s a k a p ɨ ɾ ɨ	33	c c c c c c c c	69-6/- 92-2/ts 1-gen_a/a 4-gen_k/k 93-3/a 63-6/p 131-1/ɨ 3-gen_ɾ/ɾ 72-3/ɨ
1211	349	0	0	raepetsui			ɾaepetsuj	después, luego	after		9	170	Conector usado en el discurso masculino.							Part.		ɾ a e p e ts u j	Kokama	5 7 7 1 7 2 7 6	AXYBYBYN	RAEPECYJ	1	1.R.C 1.A.V 1.E.V 1.P.C 1.E.V 1.C.C 1.Y.V 1.J.c	2.0 1.5 1.3 1.75 1.3 1.75 1.3 0.8	0	35	ɾ a - e - - p e ts u j	35	c c c c c c c c	3-gen_ɾ/ɾ 1-gen_a/a 227-2/- 121-3/e 122-2/- 31-kok_simp/- 6-gen_p/p 175-2/e 228-2/ts 123-3/u 43-11/j
2956	395	0	0	roiré ~ riré ~ iré			ɾoiɾé	depois de, depois que	after	OL: Also /ɾiɾé/ ~ /iɾé/	2	140, 139, 70										ɾ o i ɾ é	Tupinamba	5 7 7 5 7	AXYBZ	RUIRE	3	3.R.C 3.U.V 3.I.V 3.R.C 3.E.V	2.0 1.5 1.3 1.75 0.8	0	36	ɾ o i ɾ é	36	c c c c c	0/n 0/n 0/n 0/n 0/n
198	274	0	0		kaɾuka		kaɾuka		afternoon													k a ɾ u k a	Omagua	1 7 5 7 1 7	AXBYBZ	KARYKA	2	2.K.C 2.A.V 2.R.C 2.Y.V 2.K.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	37	k a ɾ u k a - - -	37	c c c c c c	4-gen_k/k 1-gen_a/a 3-gen_ɾ/ɾ 5-gen_u/u 4-gen_k/k 1-gen_a/a 22-18/- 22-18/- 22-18/-
199	275	0	0		kaɾukatai		kaɾukatai	late afternoon	afternoon													k a ɾ u k a t a i	Omagua	1 7 5 7 1 7 1 7 7	AXBYBYBYZ	KARYKATAI	2	2.K.C 2.A.V 2.R.C 2.Y.V 2.K.C 2.A.V 2.T.C 2.A.V 2.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	0	37	k a ɾ u k a t a i	37	c c c c c c c c c	4-gen_k/k 1-gen_a/a 3-gen_ɾ/ɾ 5-gen_u/u 4-gen_k/k 1-gen_a/a 22-18/- 22-18/- 22-18/-
1014	360	360	1	karuka			kaɾuka	tarde	afternoon		9	98								N.		k a ɾ u k a	Kokama	1 7 5 7 1 7	AXBYBZ	KARYKA	1	1.K.C 1.A.V 1.R.C 1.Y.V 1.K.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	37	k a ɾ u k a - - -	37	c c c c c c	4-gen_k/k 1-gen_a/a 3-gen_ɾ/ɾ 5-gen_u/u 4-gen_k/k 1-gen_a/a 22-18/- 22-18/- 22-18/-
1989	411	0	0	caruca			kaɾuka	tarde	afternoon		2	45								subst.		k a ɾ u k a	Tupinamba	1 7 5 7 1 7	AXBYBZ	KARYKA	3	3.K.C 3.A.V 3.R.C 3.Y.V 3.K.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	37	k a ɾ u k a - - -	37	c c c c c c	4-gen_k/k 1-gen_a/a 3-gen_ɾ/ɾ 5-gen_u/u 4-gen_k/k 1-gen_a/a 22-18/- 22-18/- 22-18/-
599	451	0	0		uyawɨɾɨ		ujawɨɾɨ		again													u + j a w ɨ ɾ ɨ	Omagua	7 6 7 6 7 5 7	XBYBYBZ	YJAWIRI	2	2.Y.V 2.J.C 2.A.V 2.W.C 2.I.V 2.R.C 2.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	39	u + j a w ɨ ɾ ɨ	55 39	c + c c c c c c	5-gen_u/u + 15-gen_j/j 50-e>a/a 17-b>w/w 9-gen_ɨ/ɨ 3-gen_ɾ/ɾ 53-7/ɨ
1913	769	769	3	bé			βé	outra vez, de novo	again		2	40										β é	Tupinamba	3 7	AX	BE	3	3.B.C 3.E.V	2.0 1.5	0	38	β é - - - -	38	c c	17-b>w/w 34-fin_e>i/i 2-157/Ø 2-157/Ø 2-157/Ø 2-157/Ø
1919	770	770	1	be(nhe)no			βeɲeno	outra vez, de novo	again		2	40										β e ɲ e n o	Tupinamba	3 7 4 7 4 7	AXBYBZ	BENENU	3	3.B.C 3.E.V 3.N.C 3.E.V 3.N.C 3.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	38	β e ɲ e n o	38	c c c c c c	17-b>w/w 34-fin_e>i/i 2-157/Ø 2-157/Ø 2-157/Ø 2-157/Ø
1927	1390	777	2	beno			βeno	outra vez	again		2	40										β e n o	Tupinamba	3 7 4 7	AXBZ	BENU	3	3.B.C 3.E.V 3.N.C 3.U.V	2.0 1.5 1.75 0.8	0	38	β e - - n o	38	c c c c	17-b>w/w 34-fin_e>i/i 2-157/Ø 2-157/Ø 2-157/Ø 2-157/Ø
2242	771	771	2	jebyra			jeβɨɾa	de novo	again		2	76										j e β ɨ ɾ a	Tupinamba	6 7 3 7 5 7	AXBYBZ	JEBIRA	3	3.J.C 3.E.V 3.B.C 3.I.V 3.R.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	39	j e β ɨ ɾ a	39	c c c c c c	15-gen_j/j 50-e>a/a 17-b>w/w 9-gen_ɨ/ɨ 3-gen_ɾ/ɾ 53-7/ɨ
12	94	0	0		akuti		akuti		agouti													a k u t i	Omagua	7 1 7 1 7	XBYBZ	AKYTI	2	2.A.V 2.K.C 2.Y.V 2.T.C 2.I.V	1.5 1.75 1.3 1.75 0.8	0	40	a k u t i	40	c c c c c	1-gen_a/a 4-gen_k/k 5-gen_u/u 7-gen_t/t 8-gen_i/i
1671	138	0	0	acuti			akuti	cotia	agouti		2	22										a k u t i	Tupinamba	7 1 7 1 7	XBYBZ	AKYTI	3	3.A.V 3.K.C 3.Y.V 3.T.C 3.I.V	1.5 1.75 1.3 1.75 0.8	0	40	a k u t i	40	c c c c c	1-gen_a/a 4-gen_k/k 5-gen_u/u 7-gen_t/t 8-gen_i/i
