NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
435	dance (n.)	3472	DANCE (MOVEMENT)
436	dance (v.)	1879	DANCE
437	dark	706	DARK
438	dark@	706	DARK
439	daughter	1357	DAUGHTER
440	daughter, female ego	3930	DAUGHTER (OF WOMAN)
441	daughter, male ego	3778	DAUGHTER (OF MALE EGO)
442	daughter-in-law	1057	DAUGHTER-IN-LAW
443	daughter-in-law, SW or GSW, female ego	2264	DAUGHTER-IN-LAW (OF WOMAN)
444	daughter-in-law; SW or  BSW, male ego	2265	DAUGHTER-IN-LAW (OF MAN)
445	dawn	729	DAWN
446	dawn, early in the morning	729	DAWN
447	day	1260	DAY (24 HOURS)
448	deaf	996	DEAF
449	death (n)	910	DEATH
450	decrease in volume	2864	DECREASE
451	deep	1593	DEEP
452	deer	1936	DEER
453	deer, generic	1936	DEER
454	defecate (intr)	676	SHIT (DEFECATE)
455	defoliate, pick leaves		
456	demon	1973	DEMON
457	demon, devil		
458	den, for animals		
459	desire	2117	DESIRE
460	destroy	681	DESTROY
461	destroy, ruin	681	DESTROY
462	dexterous, skilled		
463	die (intr)	1494	DIE
464	different	2504	DIFFERENT
465	dig (intrans)		
466	dig (trans)	1418	DIG
467	digging stick	339	DIGGING STICK
468	digging stick, hoe		
469	diminutive suffix; small		
470	dirt	25	DIRT
471	dirtiness, filth		
472	dirty	1230	DIRTY
473	dirty@	1230	DIRTY
474	disappear (intr)	485	DISAPPEAR
475	disarm (lasso, etc.)		
476	disarrange		
477	discuss, converse		
478	disembark		
479	disgusting, gross	2507	DISGUSTING
480	distant relative		
481	distant relative (female), male ego		
482	ditch of water		
483	dive	119	DIVE
484	dive into water	119	DIVE
485	divide, separate	1119	DIVIDE
486	do (trans)	813	DO
487	do habitually, get used to		
488	do with		
489	dock (V trans, intr)		
490	dock in a port		
491	dock to port, arrive by water		
492	dog	2009	DOG
493	domestic mouse, rat sp.		
494	domesticated animal, pet	3780	PET
495	door	1567	DOOR
496	drag	2030	DRAG
497	drag a heavy object		
498	drag, pull		
499	drain, drip (liquids)		
500	drink (intr, trans)	1401	DRINK
501	drink alcohol		
502	drip (intr)	2253	DRIP (EMIT LIQUID)
503	drip (intr.)	2253	DRIP (EMIT LIQUID)
504	drip (n.)		
505	drown (intr)	1904	DROWN
506	drunk	1463	DRUNK
507	dry	1398	DRY
508	dry (food) (trans)		
509	dry (intr)	1786	DRY UP
510	dry (intr, trans)	2015	MAKE DRY
511	dry (river, lake) (intr, trans)		
512	dry (trans)	2015	MAKE DRY
513	dry cook/dry steam something between steaming and roasting, where the women use a 'drying pot' (clay vase). For example, to cook tamales, they are wrapped and put into the pot with a little bit of water. Then the pot is put on top of the coals and the tamales cook slowly in their own steam.		
514	dry season, summer	452	DRY SEASON
515	dry, hardened		
516	dry, strike, knock everything down		
517	drying pot, clay pot in the shape of a vase used for dry steaming food		
518	dust	2	DUST
519	dye with achiote		
520	dyes made from colored clay/earth. used to decorate pottery		
521	ear	1247	EAR
522	ear (inside)		
523	ear (outside part)		
524	earthworm	2350	EARTHWORM
525	eat (intr)		
526	eat (intr, trans)		
527	edge of an object		
528	edge, fringe		
529	egg	744	EGG
530	elbow		
531	elbow, lit. the seat of the arm		
532	embers		
533	embrace, hug (trans)		
534	emerge		
535	emit noise, sound		
536	emit smoke or steam		
537	empty shell		
538	enclosure, yard, fenced-in area		
539	end, conclusion		
540	endure		
541	enemy		
542	enjoy		
543	enter (intr)		
544	entrance		
545	escape (intr)		
546	esophagus		
547	even now		
548	every day, always		
549	evil		
550	evil snake spirit		
551	evil spirit, demon		
552	excrement		
553	excrement, feces		
554	exist		
555	extend, stretch out (bow		
556	exterior		
557	eye		
558	eye, eyes		
559	eyeball, lit. what is inside the eye		
560	eyebrow		
561	eyebrow, lit. hair of eye		
562	face		
563	faint		
564	faint (n)		
565	fall (what is at rest)		
566	fall down, scatter		
567	fall from a height (intr)		
568	fall into water		
569	fall over, fall down (intr)		
570	fall over, fall down, fall to the side (intr)		
571	family (male or female ego)		
572	fan		
573	far	1406	FAR
574	far (something visible)		
575	farming, agriculture		
576	fast		
577	fat		
578	fat (lard)		
579	father		
580	father (religious)		
581	father, mother of one's godchild		
582	father-in-law		
583	father-in-law, female ego		
584	father-in-law, male ego		
585	fear (n.), be scared (v.)		
586	fear, be scared		
587	feather		
588	feather from a wing		
589	feces, excrement		
590	feed, offer food (trans)		
591	feed, offer food (trans)@		
592	feel guilty		
593	feel, perceive		
594	fellow community member (male), female ego		
595	fellow man		
596	female		
597	female cousin, male ego		
598	fence (for defense)		
599	fever		
600	feverish		
601	few (a little)		
602	fiber, thread		
603	fibrous		
604	field mouse, rat sp.		
605	field, meadow, savannah		
606	fight (n)		
607	fight (trans)		
608	fight against each other		
609	fight, battle (n)		
610	fill (trans)		
611	fin (of a fish)		
612	find		
613	find, come across		
614	finger		
615	finger, lit. points of the hand		
616	finger, lit. son of the hand		
617	fingernail		
618	finish (trans)		
619	finish (trans), end		
620	finished		
621	finished, done		
622	fire		
623	firefly	206	FIREFLY
624	firefly sp., Photinus pyralis		
625	firefly@		
626	firewood		
627	first		
628	first time		
629	fish	227	FISH
630	fish (trans)		
631	fish hook		
632	fish poison	348	FISH POISON
633	fish poison, Lonchocarpus utilis		
634	fish scales		
635	fish sp.		
636	fish sp. catfish sp. Microglanish poecilus		
637	fish sp., cichlid sp.		
638	fish sp., sorubim sp., Pseudoplatystoma fasciatum		
639	fish sp., speckled catfish		
640	fish sp., trahira		
641	fish sp., tucunare sp., Cichla monoculus		
642	fish with fish poison		
643	fish with fishing net		
644	fish with hook (trans)		
645	fish with net (trans)		
646	fish@		
647	fishbone		
648	fishing net	388	FISHNET
649	fishing net sp.		
650	five		
651	five (my hand)		
652	fix		
653	flame (v.), shine (as in giving off light)		
654	flame (v.), shine, bright (as in giving off light)		
655	flat	1633	FLAT
656	flat, extended horizontally		
657	flea		
658	flexible but strong		
659	float		
660	flood (intr, trans)		
661	floor made from palm trunks		
662	flour/manioc flour		
663	flow		
664	flow, run off (liquids)		
665	flower		
666	flower@		
667	flute		
668	fly	1504	FLY (INSECT)
669	fly (intr)		
670	fly sp.		
671	fly, generic		
672	fog		
673	follow (trans)		
674	follow the trail of (coming)		
675	follow the trail of (going)		
676	food		
677	foot	1301	FOOT
678	foot (moving)		
679	forearm		
680	forest (jungle)		
681	forest (jungle), wilderness		
682	forever, always		
683	forget (trans)		
684	four	1500	FOUR
685	four times		
686	frame (for building)		
687	fresh		
688	friend		
689	friend, companion		
690	friend@		
691	frog sp., Hyla punctata		
692	frog sp., Leptodactylus pentadactylus		
693	frog, toad		
694	frog, toad sp.		
695	frog, toad sp., demon frog		
696	frog, toad sp., Pipa pipa		
697	frog, toad, generic		
698	fruit	1507	FRUIT
699	fruit (from the stem of)		
700	fruit, generic		
701	fry (trans)		
702	fugitive, person who escapes		
703	fulfill, accomplish		
704	full		
705	full mouth		
706	fur		
707	further on, beyond		
708	game, party		
709	gap, empty spot		
710	garbage	909	GARBAGE
711	garbage@		
712	gather firewood		
713	gather, harvest (trans)		
714	gather, pick (breaking the stem)		
715	get close (near/nearby) to someone or something slowly		
716	get confused		
717	get dressed		
718	get dressed (intr)		
719	get dressed (intr)@		
720	get late (the day)		
721	get sick		
722	get used to (trans)		
723	giant anteater, Myrmecophaga tridáctyla		
724	gift		
725	girl, female child		
726	give (ditr)		
727	give away		
728	give birth to (trans)		
729	give flower		
730	gland		
731	glutton		
732	gnaw, nibble, bite		
733	go		
734	go (IMP)		
735	go down		
736	go down (intr)		
737	go down (the tide)		
738	go downriver (intr)		
739	go upriver (intr)		
740	god		
741	god of thunder and lightning		
742	godchild (godson or daughter), female ego		
743	godfather		
744	godmother		
745	good		
746	good@		
747	gourd	411	GOURD
748	gourd vessel		
749	gourd, pumpkin, squash		
750	gourd, pumpkin, squash sp.		
751	grab (trans)		
752	grandchild		
753	grandchild, female ego		
754	grandchild, male ego		
755	grandfather	1383	GRANDFATHER
756	grandmother		
757	grandson		
758	grass	606	GRASS
759	grass sp.		
760	grasshopper		
761	grate		
762	grave sickness, disease		
763	green	1425	GREEN
764	green, grue		
765	grill		
766	grill, barbeque		
767	grill, barbeque (n)		
768	grill, barbeque@		
769	grind (trans)		
770	grindstone, stone for sharpening		
771	groan (n.)		
772	groan (v.)		
773	groin		
774	group		
775	group, multitude		
776	grow (intr, trans)		
777	grow (intr, trans) (only people)		
778	grow big (intr)		
779	grow, fill (for example water at it's source)		
780	grue		
781	guard (n)		
782	guide, protector		
783	guinea pig (?)		
784	gull		
785	gulp, mouthful		
786	haber		
787	hair		
788	hair (on head)		
789	hammock	2019	HAMMOCK
790	hand	1277	HAND
791	handle		
792	handle (of an instrument)		
793	handle (of vase, etc.)		
794	happy	1495	HAPPY
795	happy, joy		
796	hard	1884	HARD
797	hard (but flexible)		
798	hard (rigid, dense)		
799	hard, tough		
800	harden		
801	harpoon (trans)		
802	hate		
803	hate, detest		
804	have (trans)		
805	have a beard, moustache, facial hair		
806	have a hole, be hollow		
807	have a lover or spouse hidden		
808	have a party		
809	have a wake, hold a vigil, mourn		
810	have a wife, be married, male ego		
811	have alliance		
812	have flower		
813	have friendship		
814	have holes		
815	have the flu		
816	head	1256	HEAD
817	head of a river, stream, ravine		
818	headwaters, beginning of river		
819	heal (intr)		
820	heal (intr, trans)		
821	heal (trans)		
822	healthy		
823	heap of dust, trash		
824	heap, pile up, stack, accumulate		
825	heap, pile, stack		
826	hear (trans)		
827	heart	1223	HEART
828	heat		
829	heavy	1210	HEAVY
830	heavy, weight		
831	heel		
832	height, high/tall place		
833	help (trans)		
834	help to give birt		
835	hide (intr, trans)		
836	high up (adv.)	1265	HIGH
837	high, tall		
838	hill		
839	hill, mountain		
840	hill, spit		
841	hips		
842	hold hands		
843	hole	1667	HOLE
844	holy person, spiritual force		
845	honey		
846	honeybee		
847	horn	1393	HORN (ANATOMY)
848	horsefly	3262	HORSEFLY
849	hot		
850	hot, burning		
851	house	1252	HOUSE
852	how?		
853	howler monkey	433	HOWLER MONKEY
854	howler monkey sp.		
855	howler monkey, Alouatta seniculus		
856	huasacu or huasaco, Hoplias malabaricus, trahira fish		
857	hump		
858	hungry	1533	BE HUNGRY
859	hunt (intr, trans)		
860	hunt or fish for oneself		
861	hurt		
862	hurt, be painful		
863	hurt, wound		
864	hurt, wound head		
865	hurt, wounded		
866	husband	1200	HUSBAND
867	iguana. Iguana iguana		
868	illuminate, shine light on		
869	imitate, represent, signal, sometimes 'imitate' as in 'mock'		
870	immature, new (for something round like fruit)		
871	importune, bother		
872	in front		
873	in front of something or someone		
874	incline, bow		
875	increase		
876	Indian		
877	Indian from another group		
878	Indian woman		
879	infant		
880	information		
881	inside		
882	intestines, guts		
883	invite		
884	invite (trans)		
885	invite to a party (trans)		
886	invoke, call		
887	iron, metal		
888	island	622	ISLAND
889	isula or izula, Paraponera clavata, bullet ant		
890	it's true		
891	jaguar		
892	jaw		
893	jergón, Bothrops atrox, fer-de-lance snake		
894	join, (put together, attach) (trans)		
895	jump (intr)		
896	jump from one side to another		
897	jump with one foot or two		
898	keep		
899	kidney		
900	kill (trans)		
901	kill (trans) doing great damage		
902	kin, race, nation		
903	kiss		
904	knead, rub (trans)		
905	knee		
906	kneecap		
907	knife	1352	KNIFE
908	knock down		
909	knock down, undo, break up		
910	knot		
911	knot (in wood/tree)		
912	knot, knob (for example, in a cane/reed)		
913	know (trans)		
914	know how to do		
915	know well		
916	lake	624	LAKE
917	land, ground, earth		
918	landslide		
919	language		
920	lap		
921	larva, maggot, grub		
922	larva, maggot, grub sp.		
923	larva, maggot, grub sp. that appears in fruits and meats		
924	larva, maggot, grub sp., palm weevil, suri		
925	late at night		
926	lately, recently		
927	later		
928	later, after something, someone		
929	laugh (intr)		
930	law		
931	lay down		
932	lazy		
933	leader of the song, conductor		
934	leaf		
935	leaf-cutter ant		
936	leave (trans)		
937	leave from (intr)		
938	leave from, depart, leave on a trail		
939	left		
940	left (hand)		
941	leg		
942	lend		
943	lend, let borrow		
944	length, body of something long		
945	let go		
946	liar, person who lies		
947	lie (n.)		
948	lie on a surface (intr)		
949	lie on a surface (intr), only animals		
950	lie to, deceive (trans)		
951	life		
952	lift (trans)		
953	lift (trans) (something heavy)		
954	light		
955	light (v.)		
956	light (v.), start fire		
957	light (weight)		
958	light fire (v.)		
959	limp with one foot and drag the other		
960	line, row		
961	lip		
962	lip, lips		
963	lips, lit. edge of the mouth		
964	lips, lit. skin of the mouth		
965	live (intr)		
966	liver		
967	lixard sp.		
968	lizard sp.		
969	lizard sp.,  Tupinambis teguixin		
970	lizard, gecko sp.		
971	lizard, gecko, iguana		
972	lizard, gecko, iguana@		
973	load (n.)		
974	lobe-shaped part of a club		
975	long	1203	LONG
976	long stick for making holes in the ground for planting		
977	long time		
978	long time ago	373	LONG AGO
979	look (intr)		
980	look for (trans)		
981	look for something		
982	look like, resemble		
983	look over, observe		
984	lose (oneself) (intr)		
985	lose (oneself), lose the way		
986	lose something		
987	lose way		
988	lost		
989	louse	1392	LOUSE
990	love		
991	love (trans)		
992	love (trans)@		
993	lower back		
994	lower leg		
995	lower lip		
996	lumbar region, tailbone, end of spinal column		
997	lump, become lumpy		
998	lump, bulge that forms on the head and other parts of the body		
999	lung		
1000	macaw	1630	MACAW
1001	macawa ap.		
1002	machete		
1003	majás (paca)		
1004	majás (paca), Cuniculus paca		
1005	make		
1006	make arrive		
1007	make dirty		
1008	make dirty, soil		
1009	make dull		
1010	make fall, drop		
1011	make go, send		
1012	make jump		
1013	make leave		
1014	make remember (trans)		
1015	make sweat		
1016	male		
1017	malleable		
1018	man		
1019	manioc		
1020	manioc beer		
1021	manioc cutting		
1022	manioc flour	324	MANIOC FLOUR
1023	manioc, Manihot esculenta		
1024	many (much)		
1025	many (much) in a group		
1026	marry (trans)		
1027	marry (trans), marriage, married		
1028	marry a man (trans)		
1029	marry a woman (trans)		
1030	marsh, swamp		
1031	massage		
1032	mat		
1033	maternal uncle		
1034	maternal uncle: MB or MPGS, male or female ego		
1035	meat		
1036	meet		
1037	meet, encounter, come across, find		
1038	meet, visit		
1039	meet/visit again, see again		
1040	melt fat/lard		
1041	melted		
1042	memory		
1043	messenger		
1044	mestizo, mixed person		
1045	microbe, bug (associated to water)		
1046	mine		
